symbol,company,industry,tier,price,change_pct,high_52w,low_52w,high_200d,low_200d,from_52w_high_pct,ema20,ema200,above_ema200,rsi14,macd,macd_signal,macd_hist,vol_vs_avg20,consec_days,history_days
MANUGRAPH,Manugraph India Limited,,2,18.09,19.48,23.14,9.76,18.09,9.76,-21.82,15.36,15.87,True,72.61,0.143,-0.053,0.196,14.31,2,249
NGIL,Nakoda Group of Industries Limited,,2,38.04,17.63,42.26,22.39,42.26,22.39,-9.99,37.14,35.57,True,51.09,-1.51,-1.102,-0.408,1.41,1,249
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,,2,2.07,16.95,3.15,1.76,3.15,1.76,-34.29,1.91,2.25,False,61.83,-0.047,-0.058,0.011,5.43,2,250
TIMEX,Timex Group India Limited,,2,714.2,16.87,714.2,336.35,714.2,336.35,0.0,625.5,468.15,True,68.99,16.862,16.809,0.053,9.93,2,106
ATAM,Atam Valves Limited,,2,62.15,14.41,108.83,48.76,85.19,48.76,-42.89,56.56,69.02,False,61.11,-1.276,-2.132,0.856,6.84,1,248
SAMBHV,Sambhv Steel Tubes Limited,,2,147.57,14.32,147.57,82.3,147.57,82.3,0.0,130.13,115.15,True,72.67,3.269,2.583,0.686,10.27,2,251
ASTEC,Astec LifeSciences Limited,,2,755.15,14.08,918.75,521.85,852.15,521.85,-17.81,651.47,683.87,True,66.43,24.393,9.533,14.86,2.3,1,251
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,1,660.7,12.65,808.27,467.74,808.27,467.74,-18.26,619.4,634.24,True,61.78,-12.778,-15.96,3.182,15.72,2,251
VISAKAIND,Visaka Industries Limited,,2,97.36,11.72,102.47,50.2,102.47,50.2,-4.99,91.16,77.8,True,62.27,0.624,0.743,-0.12,2.74,1,250
MACPOWER,Macpower CNC Machines Limited,,2,2104.5,11.37,2104.5,777.63,2104.5,792.32,0.0,1875.59,1287.66,True,69.01,64.176,69.567,-5.391,4.35,3,250
RMC,RMC Switchgears Limited,,2,229.16,11.02,521.2,201.09,521.2,201.09,-56.03,233.4,335.29,False,44.57,-16.453,-16.576,0.123,2.99,2,118
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,1,479.4,10.86,542.5,368.4,502.7,368.4,-11.63,460.08,453.31,True,57.86,-6.999,-6.291,-0.708,6.5,1,251
BODALCHEM,Bodal Chemicals Limited,,2,191.23,10.24,191.23,43.45,191.23,43.45,0.0,146.86,77.76,True,82.24,26.996,24.633,2.363,0.33,1,250
TREL,Transindia Real Estate Limited,,2,29.77,10.14,32.5,22.51,30.85,22.51,-8.4,27.0,26.6,True,69.39,0.406,0.313,0.093,5.0,2,249
